model,param1_name,param2_name,param1,param2,n_trials,sigma,prior_scale,n,original_pd_rate,fd_pd_rate,ad_pd_rate,original_numerical_failure_rate,fd_numerical_failure_rate,structural_laplace_failure_rate,median_original_ad_rel_error,median_fd_ad_rel_error,median_original_min_eig,median_fd_min_eig,median_ad_min_eig,median_original_log10_condition,median_fd_log10_condition,median_ad_log10_condition,median_abs_delta_loge_original_ad,median_abs_delta_loge_fd_ad
categorical,alpha,beta,0.5,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.2061661545698996e-05,2.4033708625439885e-08,1.938026125900643,1.9380939690682526,1.9380939151416166,1.4208062900224163,1.4208003394081454,1.4208003426300193,2.5599723739944125e-05,3.026088002400229e-08
categorical,alpha,beta,0.5,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.818351156485986e-05,3.989170558877838e-08,0.2949826559079118,0.2949820806581088,0.294982065642396,2.418588904696125,2.4186050881267365,2.4186050955607827,9.55552325345721e-05,4.3592392806601765e-08
categorical,alpha,beta,0.75,0.25,50,0.1,0.1,20,0.9,0.9,0.9,0.0,0.0,0.1,3.612170818473277e-05,2.2150777139546157e-07,2.095480901659476,2.095562428291434,2.09556240194088,0.4995266377535866,0.49952439174009605,0.49952463685480497,1.6770224853246418e-05,2.32737530581062e-07
categorical,alpha,beta,0.75,0.5,50,0.1,0.1,20,0.9,0.9,0.9,0.0,0.0,0.1,3.0684854028523376e-05,1.5903021041563566e-07,2.6180060778921708,2.6181044382987206,2.618104048993696,0.47149725241493323,0.47149452860383706,0.4714946245785344,1.7482334776275366e-05,2.6938944941434784e-07
categorical,alpha,beta,0.75,1.0,50,0.1,0.1,20,0.9,0.9,0.9,0.0,0.0,0.1,2.334037565294557e-05,8.33599641047207e-08,3.685118576815448,3.6850575994656998,3.685056965988582,0.6988300099781184,0.69881975895863,0.6988197253009817,1.1073344218459624e-05,1.0229041791376403e-07
categorical,alpha,beta,0.75,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1723774648932944e-05,2.56124649933995e-08,1.8025812283557539,1.802609168959076,1.8026090822654053,1.474823180520659,1.4748176190776119,1.4748176582838792,1.8326888444164524e-05,5.6287159821977184e-08
categorical,alpha,beta,0.75,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.0772970093873352e-05,2.3119642738577128e-08,0.15867650555884344,0.1586965212844743,0.15869649781948758,2.721205871224874,2.721250596223502,2.7212506031745427,8.039098197870631e-05,4.690708621524209e-08
categorical,alpha,beta,0.95,0.25,50,0.1,0.1,20,0.85,0.85,0.85,0.0,0.0,0.15,2.7303166085256312e-05,2.609475907459303e-07,1.4519502534886986,1.4520328231220987,1.452032429441773,0.7439884747419323,0.7439366984387841,0.7439364573436165,2.4825409923323605e-05,5.543163865695533e-07
categorical,alpha,beta,0.95,0.5,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.2450355360181013e-05,1.0109542331417579e-07,2.6925560155982637,2.6925769696798687,2.6925768801955146,0.6678234483960822,0.6678177713981217,0.6678178158801128,2.160353980684704e-05,1.1233964869461488e-07
categorical,alpha,beta,0.95,1.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.304274799547577e-05,7.033476535636857e-08,2.3770211432849924,2.3771055053289274,2.3771038532232187,0.9043005493799331,0.9042644384842307,0.9042644206608947,1.7163180096702035e-05,1.7102524907386396e-07
categorical,alpha,beta,0.95,3.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1339979268842654e-05,1.925979968279009e-08,1.5191480810188112,1.5191337903960074,1.5191337060564316,1.5983891930241276,1.598346055952852,1.5983460896237587,2.636871043293354e-05,3.934241377123726e-08
categorical,alpha,beta,0.95,8.0,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,3.4977937478668006e-05,1.6581932620297557e-08,0.13728238501106144,0.13730957713623498,0.13730955145938128,2.9196026944154028,2.9194883785809562,2.9194884311795484,0.00012140571826609999,7.511532373882801e-08
ces,alpha,rho,0.05,-0.7,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,3.6040141000349147e-05,2.48012149163528e-08,0.9507490886865066,0.9514621604204122,0.9514586007469807,3.3553414065170886,3.355311880214442,3.355313017716553,0.00019252246769235,2.0419901076706992e-06
ces,alpha,rho,0.05,-0.3,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.079933506700983e-05,2.0123689326760978e-08,0.9948461041300853,0.9948578828512672,0.9948570044848969,3.350224962374039,3.3504025317901234,3.3504036296876025,0.00022143685606575,3.0947852636131756e-06
ces,alpha,rho,0.05,-0.1,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,1.1102447421004898e-05,1.5582384278280926e-08,1.111017773338577,1.1160994353536895,1.1160665291608032,3.2977570935814815,3.2976463867932537,3.297642193607653,0.0002340396403681,2.5407231944996056e-06
ces,alpha,rho,0.05,0.3,50,0.1,0.1,20,1.0,1.0,1.0,0.0,0.0,0.0,2.136829422039631e-06,4.6744032368889215e-09,0.952072291377006,0.9522992607712233,0.9522968749206024,3.289657725534485,3.290418098455347,3.290410022491957,0.00011870915139050001,1.4536699666223285e-06
